Task,Model,Results File Found,Samples File Found,Status
sysengbench,devstral__24b,True,True,complete
sysengbench,gemma3n__e2b,True,True,complete
sysengbench,gemma3n__e4b,True,True,complete
sysengbench,gemma3__12b,True,True,complete
sysengbench,gemma3__1b,True,True,complete
sysengbench,gemma3__270m,True,True,complete
sysengbench,gemma3__27b,True,True,complete
sysengbench,gemma3__4b,True,True,complete
sysengbench,gpt-oss__20b,True,True,complete
sysengbench,llama3.2__1b,True,True,complete
sysengbench,llama3.2__3b,True,True,complete
sysengbench,llama3.3__70b,True,True,complete
sysengbench,magistral__24b,True,True,complete
sysengbench,mistral-small3.2__24b,True,True,complete
sysengbench,mistral__7b,True,True,complete
sysengbench,mistral__instruct,True,True,complete
sysengbench,phi4-reasoning__14b,True,True,complete
sysengbench,phi4-reasoning__plus,True,True,complete
sysengbench,qwen3__0.6b,True,True,complete
sysengbench,qwen3__1.7b,True,True,complete
sysengbench,qwen3__14b,True,True,complete
sysengbench,qwen3__30b,True,True,complete
sysengbench,qwen3__32b,True,True,complete
sysengbench,qwen3__4b,True,True,complete
sysengbench,qwen3__8b,True,True,complete
sysengbench-a,deepseek-r1__14b,True,True,complete
sysengbench-a,deepseek-r1__32b,True,True,complete
sysengbench-a,deepseek-r1__70b,True,True,complete
sysengbench-a,deepseek-r1__8b,True,True,complete
sysengbench-a,devstral__24b,True,True,complete
sysengbench-a,gemma3n__e2b,True,True,complete
sysengbench-a,gemma3n__e4b,True,True,complete
sysengbench-a,gemma3__12b,True,True,complete
sysengbench-a,gemma3__1b,True,True,complete
sysengbench-a,gemma3__270m,True,True,complete
sysengbench-a,gemma3__27b,True,True,complete
sysengbench-a,gemma3__4b,True,True,complete
sysengbench-a,gpt-oss__20b,True,True,complete
sysengbench-a,llama3.2__1b,True,True,complete
sysengbench-a,llama3.2__3b,True,True,complete
sysengbench-a,llama3.3__70b,True,True,complete
sysengbench-a,magistral__24b,True,True,complete
sysengbench-a,mistral-small3.2__24b,True,True,complete
sysengbench-a,mistral__7b,True,True,complete
sysengbench-a,mistral__instruct,True,True,complete
sysengbench-a,phi4-reasoning__14b,True,True,complete
sysengbench-a,phi4-reasoning__plus,True,True,complete
sysengbench-a,qwen3__0.6b,True,True,complete
sysengbench-a,qwen3__1.7b,True,True,complete
sysengbench-a,qwen3__14b,True,True,complete
sysengbench-a,qwen3__30b,True,True,complete
sysengbench-a,qwen3__32b,True,True,complete
sysengbench-a,qwen3__4b,True,True,complete
sysengbench-a,qwen3__8b,True,True,complete
sysengbench-b,deepseek-r1__14b,True,True,complete
sysengbench-b,deepseek-r1__32b,True,True,complete
sysengbench-b,deepseek-r1__70b,True,True,complete
sysengbench-b,deepseek-r1__8b,True,True,complete
sysengbench-b,devstral__24b,True,True,complete
sysengbench-b,gemma3n__e2b,True,True,complete
sysengbench-b,gemma3n__e4b,True,True,complete
sysengbench-b,gemma3__12b,True,True,complete
sysengbench-b,gemma3__1b,True,True,complete
sysengbench-b,gemma3__270m,True,True,complete
sysengbench-b,gemma3__27b,True,True,complete
sysengbench-b,gemma3__4b,True,True,complete
sysengbench-b,gpt-oss__20b,True,True,complete
sysengbench-b,llama3.2__1b,True,True,complete
sysengbench-b,llama3.2__3b,True,True,complete
sysengbench-b,llama3.3__70b,True,True,complete
sysengbench-b,magistral__24b,True,True,complete
sysengbench-b,mistral-small3.2__24b,True,True,complete
sysengbench-b,mistral__7b,True,True,complete
sysengbench-b,mistral__instruct,True,True,complete
sysengbench-b,phi4-reasoning__14b,True,True,complete
sysengbench-b,phi4-reasoning__plus,True,True,complete
sysengbench-b,qwen3__0.6b,True,True,complete
sysengbench-b,qwen3__1.7b,True,True,complete
sysengbench-b,qwen3__14b,True,True,complete
sysengbench-b,qwen3__30b,True,True,complete
sysengbench-b,qwen3__32b,True,True,complete
sysengbench-b,qwen3__4b,True,True,complete
sysengbench-b,qwen3__8b,True,True,complete
sysengbench-c,deepseek-r1__14b,True,True,complete
sysengbench-c,deepseek-r1__32b,True,True,complete
sysengbench-c,deepseek-r1__70b,True,True,complete
sysengbench-c,deepseek-r1__8b,True,True,complete
sysengbench-c,devstral__24b,True,True,complete
sysengbench-c,gemma3n__e2b,True,True,complete
sysengbench-c,gemma3n__e4b,True,True,complete
sysengbench-c,gemma3__12b,True,True,complete
sysengbench-c,gemma3__1b,True,True,complete
sysengbench-c,gemma3__270m,True,True,complete
sysengbench-c,gemma3__27b,True,True,complete
sysengbench-c,gemma3__4b,True,True,complete
sysengbench-c,gpt-oss__20b,True,True,complete
sysengbench-c,llama3.2__1b,True,True,complete
sysengbench-c,llama3.2__3b,True,True,complete
sysengbench-c,llama3.3__70b,True,True,complete
sysengbench-c,magistral__24b,True,True,complete
sysengbench-c,mistral-small3.2__24b,True,True,complete
sysengbench-c,mistral__7b,True,True,complete
sysengbench-c,mistral__instruct,True,True,complete
sysengbench-c,phi4-reasoning__14b,True,True,complete
sysengbench-c,phi4-reasoning__plus,True,True,complete
sysengbench-c,qwen3__0.6b,True,True,complete
sysengbench-c,qwen3__1.7b,True,True,complete
sysengbench-c,qwen3__14b,True,True,complete
sysengbench-c,qwen3__30b,True,True,complete
sysengbench-c,qwen3__32b,True,True,complete
sysengbench-c,qwen3__4b,True,True,complete
sysengbench-c,qwen3__8b,True,True,complete
sysengbench-d,deepseek-r1__14b,True,True,complete
sysengbench-d,deepseek-r1__32b,True,True,complete
sysengbench-d,deepseek-r1__70b,True,True,complete
sysengbench-d,deepseek-r1__8b,True,True,complete
sysengbench-d,gemma3n__e2b,True,True,complete
sysengbench-d,gemma3n__e4b,True,True,complete
sysengbench-d,gemma3__12b,True,True,complete
sysengbench-d,gemma3__1b,True,True,complete
sysengbench-d,gemma3__270m,True,True,complete
sysengbench-d,gemma3__27b,True,True,complete
sysengbench-d,gemma3__4b,True,True,complete
sysengbench-d,gpt-oss__20b,True,True,complete
