model,category,description,chi2_p,cramers_v,friedman_p
anthropic__claude-sonnet-4.5,Mixed evidence,Inconsistent evidence across tests,0.0005754815202265517,0.0586679251901473,5.046594408472201e-10
devstral__24b,Mixed evidence,Inconsistent evidence across tests,1.5750662366401e-05,0.0693371762148544,1.4592258344005886e-12
gemma3__12b,Mixed evidence,Inconsistent evidence across tests,0.01666509552410024,0.04598208674309815,9.727726844179051e-07
gemma3__1b,Moderate bias,Position should be considered in interpretation,3.88258799219351e-35,0.17104447790066463,1.6702610000216755e-61
gemma3__27b,No bias,MCQ accuracy is position-invariant,0.055355942468238654,0.04019345045456655,4.6128516442339986e-05
gemma3__4b,Mixed evidence,Inconsistent evidence across tests,0.002804316478938216,0.053162240075424944,1.8287860186309026e-08
google__gemini-2.5-flash,No bias,MCQ accuracy is position-invariant,0.8901419366592357,0.014029793024556602,0.32380508323542784
llama3.2__1b,Moderate bias,Position should be considered in interpretation,1.1543471233786398e-55,0.21433288489122213,1.7584167923137735e-96
llama3.2__3b,Moderate bias,Position should be considered in interpretation,2.5281364099536024e-47,0.19791005572606282,9.250392097955099e-84
llama3.3__70b,Mixed evidence,Inconsistent evidence across tests,0.03199210554227931,0.04296513126626622,3.7141209441580427e-06
llama4__16x17b,No bias,MCQ accuracy is position-invariant,0.06614914469404766,0.039235490034666975,7.76726783833266e-05
mistral-large__123b,Mixed evidence,Inconsistent evidence across tests,0.00022152592132140982,0.06170856968898172,1.7120980415257362e-09
mistral-small3.2__24b,Mixed evidence,Inconsistent evidence across tests,3.921464768583551e-06,0.07298887366706885,1.0416732159661172e-12
mixtral__8x22b,No bias,MCQ accuracy is position-invariant,0.1300087454089064,0.0352650648371038,0.000632122759380036
openai__gpt-4.1,No bias,MCQ accuracy is position-invariant,0.1507463728169369,0.03430633736518878,0.00013564954937359526
phi3.5__3.8b,Mixed evidence,Inconsistent evidence across tests,0.007594891576434974,0.04930973819445889,4.1117461210807484e-08
phi3__14b,Mixed evidence,Inconsistent evidence across tests,0.021923847778642272,0.044745547143992585,3.7664494919272615e-05
phi4-mini__3.8b,Moderate bias,Position should be considered in interpretation,1.0227325745473533e-14,0.11191240890346714,3.0568910608917654e-32
phi4__14b,No bias,MCQ accuracy is position-invariant,0.11476347607440822,0.036044847381557325,0.001816648966573431
