Model,Task,Results File Found,Samples File Found,Status
gemma3__12b,sysengbench,True,True,complete
gemma3__12b,sysengbench-a,True,True,complete
gemma3__12b,sysengbench-b,True,True,complete
gemma3__12b,sysengbench-c,True,True,complete
gemma3__12b,sysengbench-d,True,True,complete
gemma3__1b,sysengbench,True,True,complete
gemma3__1b,sysengbench-a,True,True,complete
gemma3__1b,sysengbench-b,True,True,complete
gemma3__1b,sysengbench-c,True,True,complete
gemma3__1b,sysengbench-d,True,True,complete
gemma3__270m,sysengbench,True,True,complete
gemma3__270m,sysengbench-a,True,True,complete
gemma3__270m,sysengbench-b,True,True,complete
gemma3__270m,sysengbench-c,True,True,complete
gemma3__270m,sysengbench-d,True,True,complete
gemma3__27b,sysengbench,True,True,complete
gemma3__27b,sysengbench-a,True,True,complete
gemma3__27b,sysengbench-b,True,True,complete
gemma3__27b,sysengbench-c,True,True,complete
gemma3__27b,sysengbench-d,True,True,complete
gemma3__4b,sysengbench,True,True,complete
gemma3__4b,sysengbench-a,True,True,complete
gemma3__4b,sysengbench-b,True,True,complete
gemma3__4b,sysengbench-c,True,True,complete
gemma3__4b,sysengbench-d,True,True,complete
gemma3n__e2b,sysengbench,True,True,complete
gemma3n__e2b,sysengbench-a,True,True,complete
gemma3n__e2b,sysengbench-b,True,True,complete
gemma3n__e2b,sysengbench-c,True,True,complete
gemma3n__e2b,sysengbench-d,True,True,complete
gemma3n__e4b,sysengbench,True,True,complete
gemma3n__e4b,sysengbench-a,True,True,complete
gemma3n__e4b,sysengbench-b,True,True,complete
gemma3n__e4b,sysengbench-c,True,True,complete
gemma3n__e4b,sysengbench-d,True,True,complete
gpt-oss__20b,sysengbench,True,True,complete
gpt-oss__20b,sysengbench-a,False,False,missing
gpt-oss__20b,sysengbench-b,False,False,missing
gpt-oss__20b,sysengbench-c,False,False,missing
gpt-oss__20b,sysengbench-d,False,False,missing
llama3.2__1b,sysengbench,True,True,complete
llama3.2__1b,sysengbench-a,False,False,missing
llama3.2__1b,sysengbench-b,False,False,missing
llama3.2__1b,sysengbench-c,False,False,missing
llama3.2__1b,sysengbench-d,False,False,missing
llama3.2__3b,sysengbench,True,True,complete
llama3.2__3b,sysengbench-a,False,False,missing
llama3.2__3b,sysengbench-b,False,False,missing
llama3.2__3b,sysengbench-c,False,False,missing
llama3.2__3b,sysengbench-d,False,False,missing
mistral-small3.2__24b,sysengbench,True,True,complete
mistral-small3.2__24b,sysengbench-a,False,False,missing
mistral-small3.2__24b,sysengbench-b,False,False,missing
mistral-small3.2__24b,sysengbench-c,False,False,missing
mistral-small3.2__24b,sysengbench-d,False,False,missing
qwen3__0.6b,sysengbench,True,True,complete
qwen3__0.6b,sysengbench-a,True,True,complete
qwen3__0.6b,sysengbench-b,False,False,missing
qwen3__0.6b,sysengbench-c,False,False,missing
qwen3__0.6b,sysengbench-d,False,False,missing
qwen3__1.7b,sysengbench,True,True,complete
qwen3__1.7b,sysengbench-a,True,True,complete
qwen3__1.7b,sysengbench-b,False,False,missing
qwen3__1.7b,sysengbench-c,False,False,missing
qwen3__1.7b,sysengbench-d,False,False,missing
qwen3__4b,sysengbench,True,True,complete
qwen3__4b,sysengbench-a,True,True,complete
qwen3__4b,sysengbench-b,False,False,missing
qwen3__4b,sysengbench-c,False,False,missing
qwen3__4b,sysengbench-d,False,False,missing
qwen3__8b,sysengbench,True,True,complete
qwen3__8b,sysengbench-a,True,True,complete
qwen3__8b,sysengbench-b,False,False,missing
qwen3__8b,sysengbench-c,False,False,missing
qwen3__8b,sysengbench-d,False,False,missing
