model,quality_metric,pearson_r,pearson_p,spearman_r,spearman_p,n_samples
anthropic__claude-sonnet-4.5,total_score,0.222,0.0,-0.0614,0.0749,841
anthropic__claude-sonnet-4.5,technical_accuracy,0.2246,0.0,-0.0498,0.1489,841
anthropic__claude-sonnet-4.5,conceptual_understanding,0.2567,0.0,0.058,0.0928,841
anthropic__claude-sonnet-4.5,completeness,0.1939,0.0,-0.0117,0.735,841
anthropic__claude-sonnet-4.5,clarity_organization,0.0513,0.1373,-0.1942,0.0,841
anthropic__claude-sonnet-4.5,professional_relevance,0.2473,0.0,-0.0015,0.9651,841
devstral__24b,total_score,0.3289,0.0,0.1652,0.0,844
devstral__24b,technical_accuracy,0.338,0.0,0.2137,0.0,844
devstral__24b,conceptual_understanding,0.3322,0.0,0.196,0.0,844
devstral__24b,completeness,0.2928,0.0,0.1649,0.0,844
devstral__24b,clarity_organization,0.2554,0.0,0.1938,0.0,844
devstral__24b,professional_relevance,0.3334,0.0,0.1956,0.0,844
gemma3__12b,total_score,0.4738,0.0,0.2389,0.0,844
gemma3__12b,technical_accuracy,0.4586,0.0,0.2735,0.0,844
gemma3__12b,conceptual_understanding,0.489,0.0,0.2648,0.0,844
gemma3__12b,completeness,0.435,0.0,0.2355,0.0,844
gemma3__12b,clarity_organization,0.3305,0.0,0.1874,0.0,844
gemma3__12b,professional_relevance,0.4969,0.0,0.288,0.0,844
gemma3__1b,total_score,0.2016,0.0,0.1011,0.0033,843
gemma3__1b,technical_accuracy,0.1996,0.0,0.1151,0.0008,843
gemma3__1b,conceptual_understanding,0.1898,0.0,0.1016,0.0032,843
gemma3__1b,completeness,0.1712,0.0,0.0976,0.0046,843
gemma3__1b,clarity_organization,0.195,0.0,0.0492,0.1532,843
gemma3__1b,professional_relevance,0.2151,0.0,0.1123,0.0011,843
gemma3__27b,total_score,0.3095,0.0,0.1071,0.0018,845
gemma3__27b,technical_accuracy,0.2984,0.0,0.1418,0.0,845
gemma3__27b,conceptual_understanding,0.3149,0.0,0.1315,0.0001,845
gemma3__27b,completeness,0.2791,0.0,0.1134,0.001,845
gemma3__27b,clarity_organization,0.2013,0.0,0.0188,0.5854,845
gemma3__27b,professional_relevance,0.3477,0.0,0.1734,0.0,845
gemma3__4b,total_score,0.3886,0.0,0.191,0.0,842
gemma3__4b,technical_accuracy,0.3718,0.0,0.208,0.0,842
gemma3__4b,conceptual_understanding,0.3936,0.0,0.2047,0.0,842
gemma3__4b,completeness,0.3437,0.0,0.1876,0.0,842
gemma3__4b,clarity_organization,0.3053,0.0,0.1156,0.0008,842
gemma3__4b,professional_relevance,0.4274,0.0,0.2246,0.0,842
google__gemini-2.5-flash,total_score,0.2735,0.0,-0.0364,0.2903,845
google__gemini-2.5-flash,technical_accuracy,0.2933,0.0,0.078,0.0234,845
google__gemini-2.5-flash,conceptual_understanding,0.2728,0.0,-0.0091,0.7918,845
google__gemini-2.5-flash,completeness,0.2325,0.0,-0.0085,0.8045,845
google__gemini-2.5-flash,clarity_organization,0.2304,0.0,0.0813,0.018,845
google__gemini-2.5-flash,professional_relevance,0.2758,0.0,0.0253,0.4619,845
llama3.2__1b,total_score,0.3624,0.0,0.3261,0.0,845
llama3.2__1b,technical_accuracy,0.3753,0.0,0.3523,0.0,845
llama3.2__1b,conceptual_understanding,0.3581,0.0,0.331,0.0,845
llama3.2__1b,completeness,0.3474,0.0,0.3376,0.0,845
llama3.2__1b,clarity_organization,0.1749,0.0,0.1398,0.0,845
llama3.2__1b,professional_relevance,0.3904,0.0,0.3477,0.0,845
llama3.2__3b,total_score,0.2044,0.0,0.1981,0.0,845
llama3.2__3b,technical_accuracy,0.2447,0.0,0.2342,0.0,845
llama3.2__3b,conceptual_understanding,0.2189,0.0,0.2082,0.0,845
llama3.2__3b,completeness,0.1925,0.0,0.1946,0.0,845
llama3.2__3b,clarity_organization,0.0971,0.0047,0.1301,0.0001,845
llama3.2__3b,professional_relevance,0.2158,0.0,0.2071,0.0,845
llama3.3__70b,total_score,0.137,0.0001,0.0453,0.1887,845
llama3.3__70b,technical_accuracy,0.167,0.0,0.1147,0.0008,845
llama3.3__70b,conceptual_understanding,0.1733,0.0,0.0772,0.0249,845
llama3.3__70b,completeness,0.1241,0.0003,0.0581,0.0915,845
llama3.3__70b,clarity_organization,-0.0804,0.0195,0.0646,0.0604,845
llama3.3__70b,professional_relevance,0.1498,0.0,0.0583,0.0904,845
llama4__16x17b,total_score,0.2093,0.0,0.105,0.0023,845
llama4__16x17b,technical_accuracy,0.2474,0.0,0.1323,0.0001,845
llama4__16x17b,conceptual_understanding,0.2533,0.0,0.1721,0.0,845
llama4__16x17b,completeness,0.1895,0.0,0.117,0.0007,845
llama4__16x17b,clarity_organization,-0.0383,0.2664,-0.0486,0.1578,845
llama4__16x17b,professional_relevance,0.2183,0.0,0.1336,0.0001,845
mistral-large__123b,total_score,0.2423,0.0,0.0065,0.8512,836
mistral-large__123b,technical_accuracy,0.267,0.0,0.1007,0.0035,836
mistral-large__123b,conceptual_understanding,0.2368,0.0,0.0213,0.5386,836
mistral-large__123b,completeness,0.2111,0.0,0.032,0.356,836
mistral-large__123b,clarity_organization,0.1785,0.0,0.1076,0.0018,836
mistral-large__123b,professional_relevance,0.2441,0.0,0.0444,0.1993,836
mistral-small3.2__24b,total_score,0.364,0.0,0.1225,0.0004,841
mistral-small3.2__24b,technical_accuracy,0.3808,0.0,0.1981,0.0,841
mistral-small3.2__24b,conceptual_understanding,0.361,0.0,0.1304,0.0001,841
mistral-small3.2__24b,completeness,0.3188,0.0,0.1317,0.0001,841
mistral-small3.2__24b,clarity_organization,0.2863,0.0,0.1893,0.0,841
mistral-small3.2__24b,professional_relevance,0.3736,0.0,0.1678,0.0,841
mixtral__8x22b,total_score,0.1717,0.0,0.0492,0.1533,844
mixtral__8x22b,technical_accuracy,0.1927,0.0,0.0983,0.0042,844
mixtral__8x22b,conceptual_understanding,0.1921,0.0,0.0884,0.0102,844
mixtral__8x22b,completeness,0.12,0.0005,0.0248,0.4724,844
mixtral__8x22b,clarity_organization,0.1072,0.0018,0.0686,0.0462,844
mixtral__8x22b,professional_relevance,0.1837,0.0,0.0565,0.1007,844
openai__gpt-4.1,total_score,0.2916,0.0,-0.036,0.2981,837
openai__gpt-4.1,technical_accuracy,0.3225,0.0,0.1171,0.0007,837
openai__gpt-4.1,conceptual_understanding,0.2891,0.0,-0.0042,0.9045,837
openai__gpt-4.1,completeness,0.2496,0.0,-0.0208,0.5485,837
openai__gpt-4.1,clarity_organization,0.1859,0.0,0.0961,0.0054,837
openai__gpt-4.1,professional_relevance,0.2975,0.0,0.0248,0.4741,837
phi3.5__3.8b,total_score,0.0898,0.0091,0.0465,0.1772,843
phi3.5__3.8b,technical_accuracy,0.0931,0.0068,0.0571,0.0976,843
phi3.5__3.8b,conceptual_understanding,0.1085,0.0016,0.0812,0.0184,843
phi3.5__3.8b,completeness,0.1131,0.001,0.0999,0.0037,843
phi3.5__3.8b,clarity_organization,-0.0935,0.0066,-0.153,0.0,843
phi3.5__3.8b,professional_relevance,0.1162,0.0007,0.0934,0.0066,843
phi3__14b,total_score,-0.0259,0.4523,0.0248,0.4709,845
phi3__14b,technical_accuracy,0.0151,0.6615,0.054,0.1171,845
phi3__14b,conceptual_understanding,-0.0065,0.8514,0.0422,0.2201,845
phi3__14b,completeness,-0.013,0.7055,0.0313,0.363,845
phi3__14b,clarity_organization,-0.1789,0.0,-0.0908,0.0083,845
phi3__14b,professional_relevance,-0.0184,0.5929,0.0417,0.2256,845
phi4-mini__3.8b,total_score,0.1672,0.0,0.0814,0.0179,845
